,z,y,x,price,table,depth,carat,-
29054,2.93,4.85,4.82,687.0,62.0,60.6,0.42,29055.0
29055,2.97,4.69,4.65,687.0,57.0,63.6,0.4,29056.0
29056,2.91,4.71,4.67,687.0,61.0,62.0,0.4,29057.0
29057,2.99,4.72,4.7,687.0,57.0,63.5,0.4,29058.0
29058,2.95,4.69,4.65,687.0,56.0,63.2,0.4,29059.0
29059,2.98,4.72,4.69,687.0,58.0,63.3,0.4,29060.0
29060,2.88,4.76,4.72,687.0,62.0,60.8,0.4,29061.0
29061,2.98,4.69,4.66,687.0,56.0,63.7,0.4,29062.0
29062,2.96,4.72,4.69,687.0,58.0,62.9,0.4,29063.0
29063,3.0,4.72,4.67,687.0,55.0,63.9,0.4,29064.0
29064,2.98,4.74,4.68,687.0,56.0,63.3,0.4,29065.0
29065,2.96,4.67,4.65,687.0,58.0,63.5,0.4,29066.0
29066,2.95,4.69,4.66,687.0,58.0,63.1,0.4,29067.0
29067,2.94,4.68,4.65,687.0,57.0,63.0,0.4,29068.0
29068,2.9,4.72,4.68,687.0,60.0,61.7,0.4,29069.0
29069,2.77,4.49,4.44,687.0,57.0,62.0,0.34,29070.0
29070,2.78,4.54,4.48,687.0,55.0,61.6,0.34,29071.0
29071,2.71,4.59,4.55,687.0,59.0,59.3,0.34,29072.0
29072,2.66,4.28,4.23,688.0,61.0,62.5,0.3,29073.0
29073,2.55,4.31,4.24,688.0,55.0,59.6,0.28,29074.0
29074,2.71,4.37,4.36,688.0,57.0,61.9,0.32,29075.0
29075,2.94,4.74,4.77,688.0,53.0,61.8,0.4,29076.0
29076,2.96,4.81,4.78,688.0,54.0,61.7,0.41,29077.0
29077,2.85,4.67,4.64,688.0,58.0,61.2,0.38,29078.0
29078,2.35,3.95,4.03,688.0,60.0,58.9,0.23,29079.0
29079,2.99,4.85,4.83,688.0,60.0,61.8,0.43,29080.0
29080,3.03,4.74,4.72,689.0,54.0,64.1,0.41,29081.0
29081,2.82,4.6,4.57,689.0,55.0,61.4,0.36,29082.0
29082,2.95,4.76,4.73,689.0,53.0,62.2,0.4,29083.0
29083,2.82,4.55,4.57,689.0,59.0,61.8,0.36,29084.0
29084,2.86,4.5,4.53,689.0,56.0,63.3,0.36,29085.0
29085,2.82,4.53,4.56,689.0,59.0,62.0,0.36,29086.0
29086,2.77,4.46,4.49,689.0,56.0,61.9,0.34,29087.0
29087,2.76,4.54,4.58,689.0,56.0,60.5,0.34,29088.0
29088,2.7,4.55,4.61,689.0,59.0,59.0,0.34,29089.0
29089,2.82,4.42,4.44,689.0,57.0,63.7,0.34,29090.0
29090,2.86,4.54,4.59,689.0,55.0,62.7,0.36,29091.0
29091,2.8,4.56,4.59,689.0,63.0,61.2,0.36,29092.0
29092,2.81,4.53,4.57,689.0,60.0,61.8,0.36,29093.0
29093,2.81,4.6,4.63,689.0,58.0,60.9,0.36,29094.0
29094,2.76,4.58,4.62,689.0,58.0,60.0,0.36,29095.0
29095,2.84,4.56,4.6,689.0,56.0,62.0,0.36,29096.0
29096,2.8,4.56,4.59,689.0,59.0,61.2,0.36,29097.0
29097,2.81,4.54,4.6,689.0,60.0,61.5,0.36,29098.0
29098,2.83,4.52,4.57,689.0,57.0,62.3,0.36,29099.0
29099,2.79,4.44,4.47,689.0,56.0,62.6,0.34,29100.0
29100,2.8,4.47,4.51,689.0,55.0,62.4,0.34,29101.0
29101,2.74,4.48,4.51,689.0,60.0,61.0,0.34,29102.0
29102,2.72,4.55,4.59,689.0,59.0,59.5,0.34,29103.0
29103,2.8,4.48,4.53,689.0,56.0,62.2,0.34,29104.0
29104,2.77,4.48,4.55,689.0,57.0,61.4,0.34,29105.0
29105,2.82,4.49,4.54,689.0,54.0,62.5,0.34,29106.0
29106,2.78,4.5,4.54,689.0,54.0,61.5,0.34,29107.0
29107,2.73,4.51,4.56,689.0,60.0,60.2,0.34,29108.0
29108,2.76,4.47,4.53,689.0,60.0,61.3,0.34,29109.0
29109,2.74,4.47,4.5,689.0,58.0,61.1,0.34,29110.0
29110,2.77,4.47,4.51,689.0,60.0,61.7,0.34,29111.0
29111,2.83,4.46,4.5,689.0,55.0,63.2,0.34,29112.0
29112,2.76,4.46,4.48,689.0,57.0,61.7,0.34,29113.0
29113,2.76,4.41,4.44,689.0,60.0,62.4,0.34,29114.0
29114,2.8,4.41,4.46,689.0,56.0,63.1,0.34,29115.0
29115,2.75,4.42,4.46,689.0,60.0,61.9,0.34,29116.0
29116,2.78,4.42,4.46,689.0,60.0,62.6,0.34,29117.0
29117,2.8,4.45,4.5,689.0,54.0,62.6,0.34,29118.0
29118,2.8,4.39,4.45,689.0,56.0,63.3,0.34,29119.0
29119,2.86,4.45,4.49,689.0,58.0,64.0,0.34,29120.0
29120,2.73,4.28,4.23,689.0,55.0,64.2,0.3,29121.0
29121,2.9,4.78,4.74,689.0,60.0,60.9,0.4,29122.0
29122,2.96,4.7,4.69,690.0,59.0,63.0,0.4,29123.0
29123,2.98,4.85,4.83,690.0,55.0,61.6,0.42,29124.0
29124,2.98,4.8,4.78,690.0,54.0,62.2,0.41,29125.0
29125,2.9,4.82,4.75,690.0,57.0,60.6,0.4,29126.0
29126,2.67,4.37,4.34,691.0,56.0,61.3,0.3,29127.0
29127,2.65,4.37,4.35,691.0,57.0,60.7,0.3,29128.0
29128,3.0,4.89,4.86,691.0,54.0,61.5,0.43,29129.0
29129,2.68,4.33,4.3,691.0,56.0,62.3,0.3,29130.0
29130,3.05,4.94,4.9,691.0,54.0,62.0,0.44,29131.0
29131,2.97,4.83,4.81,691.0,56.0,61.6,0.42,29132.0
29132,2.77,4.49,4.46,692.0,56.0,61.9,0.33,29133.0
29133,2.75,4.5,4.46,692.0,55.0,61.4,0.33,29134.0
29134,2.78,4.47,4.43,692.0,55.0,62.5,0.33,29135.0
29135,2.7,4.4,4.37,692.0,55.0,61.6,0.31,29136.0
29136,2.72,4.44,4.42,692.0,56.0,61.4,0.32,29137.0
29137,2.75,4.4,4.37,692.0,55.0,62.7,0.32,29138.0
29138,2.79,4.48,4.45,692.0,55.0,62.5,0.34,29139.0
29139,2.74,4.44,4.43,692.0,55.0,61.8,0.33,29140.0
29140,2.72,4.34,4.32,692.0,54.0,62.8,0.31,29141.0
29141,2.68,4.42,4.39,692.0,56.0,60.8,0.31,29142.0
29142,2.77,4.55,4.51,692.0,57.0,61.1,0.34,29143.0
29143,2.68,4.38,4.36,692.0,55.0,61.3,0.31,29144.0
29144,2.75,4.5,4.45,692.0,56.0,61.5,0.33,29145.0
29145,2.7,4.38,4.36,692.0,55.0,61.8,0.31,29146.0
29146,2.68,4.4,4.37,692.0,54.0,61.1,0.31,29147.0
29147,2.93,4.8,4.77,692.0,55.0,61.2,0.4,29148.0
29148,2.94,4.76,4.72,692.0,55.0,62.0,0.4,29149.0
29149,2.7,4.4,4.38,692.0,55.0,61.5,0.31,29150.0
29150,2.94,4.76,4.79,692.0,59.0,61.6,0.41,29151.0
29151,2.99,4.7,4.72,692.0,57.0,63.5,0.41,29152.0
29152,2.82,4.65,4.6,692.0,59.0,61.0,0.37,29153.0
29153,2.95,4.79,4.75,693.0,56.0,61.8,0.41,29154.0
29154,2.89,4.69,4.65,693.0,54.0,61.9,0.38,29155.0
29155,2.64,4.31,4.27,693.0,57.0,61.5,0.3,29156.0
29156,2.91,4.66,4.64,693.0,53.7,62.5,0.38,29157.0
29157,2.88,4.67,4.63,693.0,53.8,61.8,0.38,29158.0
29158,2.66,4.49,4.52,693.0,62.0,59.0,0.33,29159.0
29159,2.75,4.39,4.42,693.0,60.0,62.4,0.33,29160.0
29160,2.73,4.43,4.47,693.0,61.0,61.3,0.33,29161.0
29161,2.7,4.54,4.59,693.0,59.0,59.1,0.33,29162.0
29162,2.8,4.42,4.45,693.0,56.0,63.1,0.33,29163.0
29163,2.65,4.09,4.14,693.0,55.0,64.3,0.27,29164.0
29164,2.85,4.3,4.37,693.0,54.0,65.7,0.33,29165.0
29165,2.85,4.67,4.64,693.0,57.0,61.2,0.38,29166.0
29166,2.91,4.62,4.59,693.0,57.0,63.2,0.38,29167.0
29167,2.94,4.68,4.66,693.0,59.0,63.0,0.4,29168.0
29168,2.79,4.37,4.42,694.0,54.0,63.5,0.33,29169.0
29169,2.66,4.27,4.25,694.0,57.0,62.4,0.3,29170.0
29170,2.87,4.82,4.81,694.0,58.0,59.6,0.4,29171.0
29171,2.93,4.7,4.68,694.0,55.0,62.5,0.39,29172.0
29172,2.94,4.74,4.71,694.0,56.0,62.2,0.4,29173.0
29173,3.01,4.75,4.68,694.0,54.0,63.8,0.4,29174.0
29174,2.68,4.35,4.33,694.0,55.0,61.8,0.3,29175.0
29175,2.69,4.39,4.35,694.0,53.0,61.6,0.3,29176.0
29176,2.67,4.35,4.33,694.0,55.0,61.5,0.3,29177.0
29177,2.66,4.35,4.32,694.0,56.0,61.4,0.3,29178.0
29178,2.65,4.28,4.25,694.0,57.0,62.1,0.3,29179.0
29179,2.67,4.34,4.32,694.0,56.0,61.7,0.3,29180.0
29180,2.66,4.29,4.27,694.0,57.0,62.1,0.3,29181.0
29181,2.66,4.35,4.3,694.0,58.0,61.5,0.3,29182.0
29182,2.66,4.33,4.28,694.0,57.0,61.8,0.3,29183.0
29183,2.69,4.33,4.28,694.0,56.0,62.5,0.3,29184.0
29184,2.65,4.28,4.26,694.0,58.0,62.1,0.3,29185.0
29185,2.68,4.31,4.27,694.0,56.0,62.5,0.3,29186.0
29186,2.64,4.32,4.29,694.0,58.0,61.3,0.3,29187.0
29187,2.65,4.29,4.27,694.0,58.0,61.9,0.3,29188.0
29188,3.02,4.95,4.93,694.0,55.0,61.1,0.44,29189.0
29189,2.94,4.76,4.72,694.0,57.0,62.0,0.4,29190.0
29190,2.93,4.76,4.71,694.0,57.0,61.9,0.4,29191.0
29191,2.96,4.79,4.76,694.0,54.0,62.0,0.4,29192.0
29192,2.96,4.75,4.73,694.0,53.0,62.4,0.4,29193.0
29193,2.86,4.69,4.68,694.0,56.0,61.0,0.38,29194.0
29194,2.95,4.74,4.72,694.0,54.0,62.4,0.4,29195.0
29195,2.74,4.43,4.39,694.0,58.0,62.1,0.33,29196.0
29196,2.75,4.44,4.41,694.0,55.0,62.1,0.33,29197.0
29197,2.67,4.56,4.49,694.0,61.0,59.0,0.33,29198.0
29198,3.06,4.86,4.82,694.0,57.0,63.2,0.44,29199.0
29199,2.75,4.47,4.46,694.0,55.0,61.6,0.33,29200.0
29200,2.72,4.45,4.41,694.0,56.0,61.4,0.33,29201.0
29201,2.76,4.46,4.44,694.0,58.0,62.0,0.33,29202.0
29202,3.01,4.9,4.83,694.0,57.0,61.9,0.44,29203.0
29203,3.06,4.87,4.83,694.0,57.0,63.1,0.44,29204.0
29204,2.76,4.47,4.46,694.0,55.0,61.8,0.33,29205.0
29205,2.76,4.45,4.42,694.0,56.0,62.2,0.33,29206.0
29206,2.68,4.36,4.34,694.0,56.0,61.6,0.3,29207.0
29207,2.8,4.7,4.66,695.0,59.0,59.8,0.37,29208.0
29208,2.97,4.61,4.65,695.0,57.0,64.1,0.4,29209.0
29209,2.69,4.39,4.38,695.0,56.0,61.3,0.31,29210.0
29210,2.65,4.46,4.43,695.0,57.0,59.8,0.31,29211.0
29211,2.71,4.44,4.41,695.0,56.2,61.2,0.32,29212.0
29212,2.68,4.36,4.33,695.0,56.0,61.8,0.31,29213.0
29213,2.68,4.39,4.36,695.0,57.0,61.2,0.31,29214.0
29214,2.68,4.36,4.33,695.0,56.0,61.6,0.31,29215.0
29215,2.66,4.39,4.37,695.0,56.0,60.7,0.31,29216.0
29216,2.87,4.76,4.71,695.0,57.0,60.6,0.38,29217.0
29217,2.87,4.68,4.66,695.0,55.0,61.5,0.38,29218.0
29218,2.78,4.53,4.5,695.0,54.0,61.6,0.34,29219.0
29219,2.79,4.52,4.5,695.0,55.0,61.9,0.34,29220.0
29220,2.78,4.55,4.52,695.0,55.0,61.3,0.34,29221.0
29221,2.8,4.53,4.49,695.0,54.0,62.1,0.34,29222.0
29222,2.65,4.37,4.41,695.0,59.0,60.4,0.31,29223.0
29223,2.7,4.34,4.38,695.0,56.0,61.9,0.31,29224.0
29224,2.69,4.31,4.36,695.0,58.0,62.1,0.31,29225.0
29225,2.71,4.31,4.34,695.0,57.0,62.7,0.31,29226.0
29226,2.77,4.26,4.31,695.0,55.0,64.6,0.31,29227.0
29227,2.48,4.19,4.14,696.0,56.0,59.5,0.25,29228.0
29228,2.87,4.79,4.74,696.0,61.0,60.2,0.39,29229.0
29229,2.74,4.42,4.38,696.0,55.0,62.3,0.32,29230.0
29230,2.71,4.44,4.41,696.0,55.0,61.3,0.32,29231.0
29231,2.69,4.49,4.46,696.0,59.0,60.1,0.33,29232.0
29232,2.82,4.85,4.8,696.0,63.0,58.4,0.39,29233.0
29233,2.67,4.47,4.44,696.0,57.9,59.8,0.32,29234.0
29234,2.68,4.37,4.33,696.0,54.0,61.6,0.31,29235.0
29235,3.02,4.86,4.84,696.0,53.0,62.3,0.43,29236.0
29236,2.94,4.76,4.74,696.0,57.0,61.9,0.4,29237.0
29237,2.89,5.01,4.96,696.0,57.0,58.0,0.43,29238.0
29238,2.74,4.59,4.46,696.0,63.0,60.6,0.34,29239.0
29239,2.76,4.75,4.72,696.0,62.0,58.3,0.37,29240.0
29240,2.76,4.69,4.63,696.0,61.0,59.2,0.37,29241.0
29241,2.81,4.67,4.62,696.0,59.0,60.5,0.37,29242.0
29242,2.8,4.7,4.68,696.0,62.0,59.7,0.37,29243.0
29243,2.82,4.51,4.48,696.0,56.0,62.7,0.34,29244.0
29244,2.78,4.52,4.48,696.0,57.0,61.8,0.34,29245.0
29245,2.85,4.49,4.44,696.0,56.0,63.8,0.34,29246.0
29246,2.71,4.29,4.24,697.0,55.0,63.5,0.3,29247.0
29247,2.89,4.74,4.7,697.0,56.0,61.2,0.38,29248.0
29248,2.91,4.73,4.68,697.0,57.0,61.8,0.39,29249.0
29249,2.86,4.78,4.74,697.0,58.0,60.1,0.39,29250.0
29250,2.72,4.59,4.55,698.0,56.0,59.5,0.34,29251.0
29251,2.97,4.77,4.75,698.0,56.0,62.4,0.41,29252.0
29252,2.71,4.44,4.4,698.0,55.0,61.3,0.32,29253.0
29253,2.7,4.43,4.39,698.0,58.0,61.2,0.32,29254.0
29254,2.71,4.52,4.49,698.0,60.0,60.2,0.33,29255.0
29255,2.72,4.46,4.4,698.0,55.0,61.4,0.32,29256.0
29256,2.88,4.75,4.72,698.0,56.0,60.8,0.39,29257.0
29257,3.01,4.9,4.87,698.0,55.0,61.6,0.43,29258.0
29258,2.89,4.71,4.69,698.0,56.0,61.5,0.39,29259.0
29259,2.7,4.35,4.45,698.0,57.0,61.4,0.31,29260.0
29260,2.59,4.37,4.41,698.0,60.0,59.0,0.31,29261.0
29261,2.66,4.35,4.37,698.0,56.0,61.0,0.31,29262.0
29262,2.66,4.35,4.38,698.0,58.0,60.9,0.31,29263.0
29263,2.62,4.48,4.51,698.0,60.0,58.3,0.31,29264.0
29264,2.72,4.32,4.34,698.0,57.0,62.8,0.31,29265.0
29265,2.63,4.35,4.4,698.0,61.0,60.1,0.31,29266.0
29266,2.73,4.31,4.34,698.0,54.0,63.1,0.31,29267.0
29267,2.74,4.32,4.33,698.0,55.0,63.4,0.31,29268.0
29268,2.73,4.29,4.32,698.0,55.0,63.4,0.31,29269.0
29269,2.71,4.31,4.33,698.0,58.0,62.7,0.31,29270.0
29270,2.7,4.31,4.34,698.0,57.0,62.4,0.31,29271.0
29271,2.7,4.26,4.31,698.0,59.0,63.0,0.31,29272.0
29272,2.74,4.29,4.31,698.0,57.0,63.7,0.31,29273.0
29273,2.69,4.31,4.34,698.0,56.0,62.2,0.31,29274.0
29274,2.63,4.41,4.44,698.0,59.0,59.4,0.31,29275.0
29275,2.68,4.3,4.33,698.0,58.0,62.1,0.31,29276.0
29276,2.66,4.31,4.33,698.0,59.0,61.6,0.31,29277.0
29277,2.71,4.38,4.4,698.0,58.0,61.7,0.31,29278.0
29278,2.69,4.35,4.39,698.0,57.0,61.6,0.31,29279.0
29279,2.71,4.34,4.37,698.0,57.0,62.2,0.31,29280.0
29280,2.49,4.21,4.13,436.0,57.0,59.7,0.25,29281.0
29281,2.47,4.16,4.13,436.0,56.0,59.6,0.25,29282.0
29282,2.47,4.15,4.1,436.0,56.0,59.9,0.25,29283.0
29283,2.51,4.0,3.97,436.0,59.0,63.0,0.25,29284.0
29284,2.51,4.01,3.98,436.0,57.0,62.8,0.25,29285.0
29285,2.49,4.02,3.99,436.0,57.0,62.3,0.24,29286.0
29286,2.52,4.09,4.07,436.0,57.0,61.8,0.25,29287.0
29287,2.73,4.42,4.38,436.0,54.0,62.0,0.31,29288.0
29288,2.72,4.39,4.36,436.0,54.0,62.2,0.31,29289.0
29289,2.71,4.39,4.37,436.0,55.0,61.9,0.31,29290.0
29290,2.72,4.39,4.37,436.0,54.0,62.1,0.31,29291.0
29291,2.69,4.36,4.33,436.0,56.0,61.9,0.31,29292.0
29292,2.69,4.4,4.37,436.0,56.0,61.3,0.31,29293.0
29293,2.67,4.41,4.38,436.0,56.0,60.8,0.31,29294.0
29294,2.69,4.39,4.36,436.0,55.0,61.5,0.31,29295.0
29295,2.72,4.4,4.37,436.0,53.0,62.0,0.31,29296.0
29296,2.72,4.39,4.36,436.0,54.0,62.2,0.31,29297.0
29297,2.64,4.31,4.3,438.0,58.0,61.3,0.3,29298.0
29298,2.65,4.33,4.28,438.0,57.0,61.6,0.3,29299.0
29299,2.64,4.31,4.28,438.0,58.0,61.5,0.3,29300.0
29300,2.64,4.39,4.36,438.0,57.0,60.3,0.3,29301.0
29301,2.64,4.31,4.29,438.0,58.0,61.4,0.3,29302.0
29302,2.69,4.35,4.32,438.0,54.0,62.1,0.3,29303.0
29303,2.68,4.35,4.3,438.0,55.0,62.0,0.3,29304.0
29304,2.69,4.3,4.28,438.0,54.0,62.7,0.3,29305.0
29305,2.52,4.07,4.06,438.0,54.0,62.0,0.25,29306.0
29306,2.54,4.11,4.05,438.0,54.0,62.3,0.25,29307.0
29307,2.53,4.07,4.01,438.0,53.0,62.6,0.25,29308.0
29308,2.55,4.08,4.05,438.0,54.0,62.7,0.25,29309.0
29309,2.79,4.52,4.5,438.0,57.0,61.9,0.34,29310.0
29310,2.64,4.41,4.43,698.0,58.0,59.7,0.31,29311.0
29311,2.65,4.4,4.45,698.0,60.0,59.9,0.31,29312.0
29312,2.63,4.38,4.4,698.0,59.0,59.9,0.31,29313.0
29313,2.69,4.37,4.39,698.0,56.0,61.4,0.31,29314.0
29314,2.71,4.35,4.39,698.0,54.0,62.0,0.31,29315.0
29315,2.67,4.35,4.39,698.0,57.0,61.1,0.31,29316.0
29316,2.73,4.34,4.38,698.0,55.0,62.6,0.31,29317.0
29317,2.66,4.35,4.36,698.0,59.0,61.1,0.31,29318.0
29318,2.69,4.34,4.38,698.0,57.0,61.7,0.31,29319.0
29319,2.71,4.33,4.36,698.0,55.0,62.4,0.31,29320.0
29320,2.68,4.34,4.36,698.0,56.0,61.6,0.31,29321.0
29321,2.71,4.34,4.37,698.0,57.0,62.2,0.31,29322.0
29322,2.67,4.33,4.36,698.0,61.0,61.4,0.31,29323.0
29323,2.71,4.32,4.36,698.0,58.0,62.4,0.31,29324.0
29324,2.72,4.31,4.34,698.0,58.0,62.9,0.31,29325.0
29325,2.73,4.31,4.34,698.0,57.0,63.1,0.31,29326.0
29326,2.71,4.31,4.35,698.0,55.0,62.6,0.31,29327.0
29327,2.67,4.32,4.34,698.0,57.0,61.7,0.31,29328.0
29328,2.68,4.32,4.36,698.0,61.0,61.8,0.31,29329.0
29329,2.7,4.29,4.31,698.0,58.0,62.8,0.31,29330.0
29330,2.72,4.29,4.32,698.0,57.0,63.2,0.31,29331.0
29331,2.74,4.29,4.32,698.0,55.0,63.6,0.31,29332.0
29332,2.7,4.3,4.32,698.0,60.0,62.6,0.31,29333.0
29333,2.69,4.3,4.37,698.0,54.0,62.1,0.31,29334.0
29334,2.66,4.31,4.34,698.0,61.0,61.5,0.31,29335.0
29335,2.67,4.31,4.34,698.0,61.0,61.7,0.31,29336.0
29336,2.73,4.25,4.28,698.0,59.0,64.0,0.31,29337.0
29337,2.69,4.28,4.34,698.0,58.0,62.4,0.31,29338.0
29338,2.7,4.26,4.3,698.0,58.0,63.1,0.31,29339.0
29339,2.64,4.45,4.48,698.0,57.0,59.1,0.31,29340.0
29340,2.63,4.42,4.47,698.0,60.0,59.2,0.31,29341.0
29341,2.64,4.4,4.43,698.0,60.0,59.8,0.31,29342.0
29342,2.63,4.4,4.43,698.0,57.0,59.6,0.31,29343.0
29343,2.7,4.37,4.39,698.0,55.0,61.6,0.31,29344.0
29344,2.63,4.38,4.4,698.0,59.0,59.9,0.31,29345.0
29345,2.71,4.39,4.41,698.0,54.0,61.6,0.31,29346.0
29346,2.69,4.35,4.37,698.0,55.0,61.7,0.31,29347.0
29347,2.73,4.36,4.39,698.0,54.0,62.4,0.31,29348.0
29348,2.67,4.34,4.36,698.0,56.0,61.4,0.31,29349.0
29349,2.69,4.34,4.36,698.0,57.0,61.8,0.31,29350.0
29350,2.7,4.34,4.37,698.0,57.0,62.0,0.31,29351.0
29351,2.72,4.34,4.38,698.0,59.0,62.4,0.31,29352.0
29352,2.68,4.33,4.36,698.0,57.0,61.7,0.31,29353.0
29353,2.64,4.33,4.37,698.0,61.0,60.7,0.31,29354.0
29354,2.67,4.33,4.37,698.0,57.0,61.4,0.31,29355.0
29355,2.74,4.33,4.37,698.0,54.0,63.0,0.31,29356.0
29356,2.73,4.3,4.35,698.0,58.0,63.1,0.31,29357.0
29357,2.66,4.31,4.34,698.0,60.0,61.5,0.31,29358.0
29358,2.67,4.31,4.34,698.0,59.0,61.7,0.31,29359.0
29359,2.71,4.31,4.34,698.0,57.0,62.7,0.31,29360.0
29360,2.72,4.31,4.34,698.0,57.0,62.9,0.31,29361.0
29361,2.74,4.31,4.37,698.0,56.0,63.1,0.31,29362.0
29362,2.66,4.32,4.37,698.0,58.0,61.2,0.31,29363.0
29363,2.67,4.33,4.35,698.0,59.0,61.5,0.31,29364.0
29364,2.69,4.3,4.35,698.0,59.0,62.2,0.31,29365.0
29365,2.7,4.3,4.32,698.0,57.0,62.6,0.31,29366.0
29366,2.69,4.3,4.32,698.0,55.0,62.4,0.31,29367.0
29367,2.72,4.26,4.29,698.0,56.0,63.6,0.31,29368.0
29368,2.71,4.28,4.34,698.0,56.0,62.9,0.31,29369.0
29369,2.69,4.29,4.34,698.0,56.0,62.3,0.31,29370.0
29370,2.73,4.29,4.32,698.0,59.0,63.4,0.31,29371.0
29371,2.7,4.22,4.29,698.0,58.0,63.5,0.31,29372.0
29372,2.64,4.42,4.48,698.0,59.0,59.3,0.31,29373.0
29373,2.62,4.42,4.44,698.0,59.0,59.1,0.31,29374.0
29374,2.74,4.33,4.36,698.0,55.0,63.1,0.31,29375.0
29375,2.75,4.33,4.36,698.0,55.0,63.3,0.31,29376.0
29376,2.73,4.35,4.36,698.0,54.0,62.7,0.31,29377.0
29377,2.6,4.36,4.42,698.0,60.0,59.2,0.31,29378.0
29378,2.75,4.32,4.35,698.0,55.0,63.4,0.31,29379.0
29379,2.74,4.31,4.35,698.0,55.0,63.3,0.31,29380.0
29380,2.75,4.31,4.35,698.0,55.0,63.5,0.31,29381.0
29381,2.71,4.31,4.35,698.0,60.0,62.6,0.31,29382.0
29382,2.7,4.29,4.32,698.0,57.0,62.7,0.31,29383.0
29383,2.71,4.29,4.32,698.0,57.0,63.0,0.31,29384.0
29384,2.71,4.29,4.33,698.0,58.0,62.9,0.31,29385.0
29385,2.68,4.3,4.35,698.0,58.0,62.0,0.31,29386.0
29386,2.74,4.31,4.33,698.0,55.0,63.4,0.31,29387.0
29387,2.74,4.31,4.33,698.0,57.0,63.4,0.31,29388.0
29388,2.73,4.3,4.35,698.0,57.0,63.1,0.31,29389.0
29389,2.71,4.28,4.31,698.0,57.0,63.1,0.31,29390.0
29390,2.73,4.28,4.32,698.0,57.0,63.5,0.31,29391.0
29391,2.72,4.28,4.33,698.0,59.0,63.2,0.31,29392.0
29392,2.7,4.24,4.31,698.0,59.0,63.2,0.31,29393.0
29393,2.74,4.27,4.31,698.0,56.0,63.9,0.31,29394.0
29394,2.73,4.28,4.3,698.0,57.0,63.6,0.31,29395.0
29395,2.7,4.33,4.37,698.0,58.0,62.1,0.31,29396.0
29396,2.67,4.32,4.34,698.0,58.0,61.7,0.31,29397.0
29397,2.67,4.32,4.36,698.0,59.0,61.5,0.31,29398.0
29398,2.73,4.37,4.4,698.0,56.0,62.3,0.31,29399.0
29399,2.7,4.58,4.55,698.0,57.0,59.1,0.34,29400.0
29400,2.79,4.51,4.46,698.0,57.0,62.2,0.34,29401.0
29401,2.96,4.72,4.69,699.0,57.0,62.9,0.4,29402.0
29402,2.75,4.54,4.51,699.0,57.0,60.8,0.34,29403.0
29403,2.75,4.52,4.5,699.0,55.0,61.1,0.33,29404.0
29404,2.74,4.48,4.45,699.0,56.0,61.5,0.33,29405.0
29405,2.75,4.49,4.46,699.0,57.0,61.6,0.33,29406.0
29406,2.77,4.49,4.44,699.0,55.0,61.9,0.33,29407.0
29407,2.68,4.36,4.33,700.0,55.0,61.7,0.31,29408.0
29408,2.91,4.72,4.67,700.0,54.0,62.0,0.38,29409.0
29409,2.9,4.73,4.68,700.0,55.0,61.6,0.38,29410.0
29410,2.83,4.69,4.66,700.0,59.0,60.5,0.38,29411.0
29411,2.89,4.62,4.6,700.0,58.0,62.7,0.38,29412.0
29412,2.87,4.66,4.63,700.0,58.0,61.8,0.38,29413.0
29413,2.84,4.7,4.68,700.0,58.0,60.6,0.38,29414.0
29414,3.01,4.8,4.77,700.0,56.0,62.9,0.42,29415.0
29415,2.98,4.81,4.78,700.0,59.0,62.1,0.42,29416.0
29416,2.89,4.62,4.59,700.0,56.0,62.8,0.38,29417.0
29417,2.99,4.78,4.76,700.0,56.0,62.7,0.42,29418.0
29418,2.84,4.65,4.62,700.0,60.0,61.3,0.38,29419.0
29419,3.02,4.84,4.76,700.0,57.0,62.9,0.42,29420.0
29420,2.98,4.8,4.78,700.0,57.0,62.2,0.42,29421.0
29421,2.89,4.7,4.64,700.0,55.0,61.9,0.38,29422.0
29422,2.89,4.61,4.57,700.0,56.0,63.0,0.38,29423.0
29423,2.94,5.11,4.78,700.0,57.0,59.5,0.42,29424.0
29424,2.99,4.81,4.77,700.0,55.0,62.4,0.42,29425.0
29425,2.99,4.81,4.78,700.0,57.0,62.4,0.42,29426.0
29426,2.85,4.67,4.64,700.0,59.0,61.2,0.38,29427.0
29427,2.92,4.89,4.85,700.0,61.0,60.0,0.42,29428.0
29428,3.01,4.78,4.76,700.0,57.0,63.1,0.42,29429.0
29429,2.96,4.79,4.76,700.0,59.0,62.0,0.42,29430.0
29430,2.98,4.82,4.78,700.0,59.0,62.1,0.42,29431.0
29431,2.83,4.67,4.62,700.0,60.0,60.9,0.38,29432.0
29432,2.98,4.79,4.76,700.0,57.0,62.4,0.42,29433.0
29433,2.92,4.83,4.77,700.0,59.0,60.8,0.42,29434.0
29434,3.02,4.79,4.77,700.0,58.0,63.2,0.42,29435.0
29435,2.92,4.66,4.64,700.0,55.0,62.8,0.38,29436.0
29436,2.95,4.85,4.84,700.0,58.0,60.9,0.42,29437.0
29437,2.81,4.72,4.66,700.0,60.0,59.9,0.38,29438.0
29438,2.92,4.88,4.83,700.0,58.0,60.1,0.42,29439.0
29439,2.78,4.39,4.33,701.0,55.0,63.8,0.32,29440.0
29440,2.76,4.54,4.5,701.0,57.0,61.2,0.34,29441.0
29441,2.9,4.63,4.6,701.0,58.0,62.8,0.38,29442.0
